ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"203.210.235.91","elite","AS45899","VN","VietNam Post and Telecom Corporation","295","Vietnam Posts and Telecommunications Group","5678","socks4","71","2","2024-04-05T03:58:33.613Z","98","59","60"
"103.59.190.209","elite","AS58678","IN","Flash Broadband Pvt Ltd","123","Flash Broadband Pvt Ltd","56252","socks4","2479","2","2024-04-05T03:58:33.705Z","100","6731","6761"
"83.220.176.230","elite","AS34456","RU","Rial Com JSC","83","JSC clients network","4145","socks4","70","2","2024-04-05T03:58:33.812Z","31","2094","6794"
"190.182.229.11","elite","AS27983","AR","Red Intercable Digital S.A.","234","Radiodifusora Chajari SA","5678","socks4","65","2","2024-04-05T03:58:33.702Z","26","1752","6850"
"103.47.93.200","elite","AS134058","IN","Broban Internet Services Pvt.ltd","157","Broban  PVT Ltd.","1080","socks4","63","2","2024-04-05T03:58:33.317Z","99","6735","6795"
"43.153.64.134","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","196","Tencent Cloud Computing","443","socks4","71","2","2024-04-05T03:58:33.804Z","88","5948","6782"
"161.97.104.4","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","8080","socks4","71","1","2024-04-05T03:58:33.708Z","100","6667","6669"
"47.242.34.249","elite","AS45102","HK","Alibaba.com LLC","282","Hong Kong","33888","socks5","4199","2","2024-04-05T03:58:33.817Z","98","6542","6691"
"203.89.8.107","elite","AS4809","KR","Dancom LDI","193","N/A","80","http","1200","85705","2024-04-05T03:58:33.401Z","100","33","33"
"202.124.43.251","elite","AS9902","KH","NeocomISP Limited","287","NeocomISP Limited","4145","socks4","70","1","2024-04-05T03:58:33.717Z","99","6709","6778"
"186.219.96.193","elite","AS262420","BR","Cabonnet Internet Ltda","201","Cabonnet Internet Ltda","52017","socks4","3993","2","2024-04-05T03:58:33.700Z","98","58","59"
"181.115.36.148","elite","AS14754","HN","Telgua","193","SERCOM de Honduras","5678","socks4","68","2","2024-04-05T03:58:33.319Z","87","5789","6662"
"83.168.84.62","elite","AS35179","PL","ESPOL-FH","44","N/A","4153","socks4","554","2","2024-04-05T03:57:18.402Z","68","4594","6720"
"94.142.142.140","elite","AS209641","RU","POWER-SERVERS-ROLE-ORG","52","POWER-SERVERS-ROLE-ORG","3128","socks4","72","2","2024-04-05T03:57:18.407Z","100","6779","6793"
"36.90.105.11","elite","AS7713","ID","PT. Telekomunikasi Indonesia","207","Telekomunikasi Indonesia","3128","socks4","4397","2","2024-04-05T03:57:18.301Z","94","6425","6845"
"206.72.206.45","elite","AS19318","US","Interserver, Inc","81","Interserver, Inc","1080","socks5","3296","2","2024-04-05T03:57:18.306Z","93","6208","6710"
"159.138.43.96","elite","AS136907","HK","Huawei International Pte. Ltd.","302","N/A","1080","socks5","72","82","2024-04-05T03:57:18.404Z","98","6628","6787"
"37.75.112.35","elite","AS8926","MD","JSC \"Moldtelecom\" S.A.","59","JSC Moldtelecom S.A.","4153","socks4","78","2","2024-04-05T03:57:18.400Z","99","6720","6805"
"123.59.100.246","elite","AS23724","CN","CloudVsp.Inc","199","N/A","1080","socks4","4599","2","2024-04-05T03:57:18.413Z","86","5744","6712"
"101.51.104.95","elite","AS23969","TH","TOT Public Company Limited","228","TOT Public Company Limited","4145","socks4","70","2","2024-04-05T03:57:18.304Z","45","3088","6798"
"43.135.154.94","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","21127","socks5","72","2","2024-04-05T03:57:17.008Z","88","5866","6680"
"124.105.187.68","elite","AS9299","PH","Philippine Long Distance Telephone Co.","210","Philippine Long Distance Telephone Company","13629","socks4","71","2","2024-04-05T03:57:17.003Z","98","6575","6699"
"197.234.13.62","elite","AS36902","SC","Intelvision","130","Intelvision Ltd","4145","socks4","3096","1","2024-04-05T03:57:17.114Z","99","6749","6787"
"213.96.98.213","elite","AS3352","ES","Telefonica De Espana SAU","24","TDENET (Red de servicios IP)","15724","socks4","73","3","2024-04-05T03:57:17.106Z","99","6616","6666"
"121.36.94.70","elite","AS55990","CN","Huawei Cloud Service data center","147","Huawei Cloud Service","28890","socks5","2204","3","2024-04-05T03:57:16.901Z","46","3118","6712"
"37.187.133.177","elite","AS16276","FR","OVH SAS","6","OVH SAS","55083","socks4","70","1","2024-04-05T03:57:16.802Z","86","5818","6757"
"197.234.13.10","elite","AS36902","SC","Intelvision","129","Intelvision Ltd","4145","socks4","70","2","2024-04-05T03:57:16.616Z","99","6661","6708"
"202.148.22.106","elite","AS9794","ID","PT. Core Mediatech","187","Dnet","5678","socks4","65","1","2024-04-05T03:57:16.711Z","99","6661","6741"
"103.70.159.154","elite","AS133720","IN","speednet","181","N/A","5678","socks4","7192","1","2024-04-05T03:57:16.419Z","99","6704","6784"
"1.2.214.8","elite","AS23969","TH","TOT Public Company Limited","287","TOT Public Company Limited","4145","socks4","5306","3","2024-04-05T03:57:16.718Z","69","4720","6821"
"172.67.127.188","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","75","1","2024-04-05T03:57:16.712Z","100","6722","6723"
"82.202.196.126","elite","AS50340","RU","OOO \"Network of data-centers \"Selectel\"","50","N/A","9050","socks5","66","1","2024-04-05T03:57:16.702Z","100","6741","6772"
"1.1.1.177","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks4","68","1","2024-04-05T03:57:16.705Z","100","6703","6703"
"85.159.210.237","elite","AS63949","GB","Akamai Technologies, Inc.","10","Linode","37093","socks5","4494","7","2024-04-05T03:57:16.707Z","67","4463","6691"
"104.16.107.206","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","215","86","2024-04-05T03:57:16.701Z","100","6833","6835"
"154.79.246.18","elite","AS36926","KE","Airtel KE Mobile & Fixed Internet","265","N/A","9898","socks4","1831","2","2024-04-05T03:57:16.816Z","83","35","42"
"121.12.223.145","elite","AS4134","CN","Chinanet","286","Chinanet GD","7890","socks4","73","3","2024-04-05T03:55:53.005Z","21","1396","6735"
"185.132.228.237","elite","AS210238","IT","Dieffeitalia.it S.r.l.","35","Dieffeitalia.it S.r.l","21023","socks5","66","2","2024-04-05T03:55:53.000Z","99","6589","6675"
"109.227.6.197","elite","AS12810","HR","Vipnet","67","N/A","4145","socks5","70","2","2024-04-05T03:55:52.713Z","36","2418","6753"
"87.249.212.26","elite","AS41925","RU","IZet-Telecom Ural","72","N/A","4145","socks4","3790","2","2024-04-05T03:55:52.915Z","100","6870","6888"
"138.197.69.132","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","19260","socks5","313","2","2024-04-05T03:55:52.905Z","100","6797","6812"
"46.227.37.37","elite","AS51155","PL","Telemedian - TB Telecom","42","Telemedian","1088","socks4","5993","2","2024-04-05T03:55:52.706Z","100","6753","6779"
"178.128.148.69","elite","AS14061","US","DigitalOcean, LLC","83","Digitalocean","3128","socks4","2997","1","2024-04-05T03:55:52.818Z","100","6709","6725"
"222.124.130.196","elite","AS7713","ID","Telekomunikasi Indonesia","169","PT. TELKOM INDONESIA","4145","socks4","1295","2","2024-04-05T03:55:52.612Z","84","5686","6796"
"192.12.112.65","elite","AS61942","BR","Turbonet Telecom Ltda","214","Turbonet Telecom Ltda","4145","socks4","67","1","2024-04-05T03:55:52.704Z","95","6465","6806"
"47.98.183.59","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","168","Aliyun Computing Co., LTD","37963","socks4","5093","2","2024-04-05T03:55:52.910Z","90","6050","6727"
"212.233.164.245","elite","AS29582","BG","internet pools","47","N/A","1080","socks4","4607","3","2024-04-05T03:55:52.903Z","80","5437","6833"
"14.248.94.123","elite","AS45899","VN","VNPT","314","Vietnam Posts and Telecommunications Group","5678","socks4","4802","1","2024-04-05T03:55:52.808Z","95","6399","6747"
"177.107.32.149","elite","AS28329","BR","Megatelecom Telecomunicacoes Ltda","209","Macedo & Macedo Internet Ltda Me","4153","socks4","78","2","2024-04-05T03:55:52.917Z","80","5411","6787"
"213.150.221.198","elite","AS327794","ZA","ClearAccess","184","N/A","4153","socks4","3501","2","2024-04-05T03:55:52.603Z","99","6710","6746"
"203.150.136.34","elite","AS45752","TH","Internet Thailand Company Ltd","200","INEXT Broadband Company Limited","3629","socks4","5001","2","2024-04-05T03:55:52.813Z","98","6603","6742"
"161.35.179.193","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","59761","socks5","78","3","2024-04-05T03:55:52.800Z","100","6637","6670"
"147.182.239.59","elite","AS14061","US","DigitalOcean, LLC","191","DigitalOcean, LLC","2990","socks4","82","2","2024-04-05T03:55:52.805Z","82","5560","6748"
"185.208.172.27","elite","AS202269","DE","BitCommand LLC","16","BitCommand LLC","10204","socks4","74","1","2024-04-05T03:55:52.708Z","67","4512","6698"
"31.220.15.95","elite","AS63473","SE","HostHatch","36","HostHatch LLC","1080","socks5","72","2","2024-04-05T03:55:52.816Z","69","4646","6763"
